1,5
2,8
3,6
4,7
5,2
6,6
7,10
8,10
9,9
10,6
11,2
12,10
13,4
14,9
15,8
16,2
17,1
18,1
19,3
20,6
21,5
22,7
23,9
24,4
25,1
26,5
27,10
28,10
29,3
30,5
31,5
32,5
33,5
34,1
35,8
36,3
37,10
38,7
39,6
40,6
41,3
42,10
43,7
44,3
45,4
46,8
47,9
48,5
49,5
50,8
51,3
52,10
53,10
54,5
55,2
56,4
57,9
58,6
59,1
60,7
61,5
62,2
63,2
64,1
65,9
66,4
67,1
68,1
69,2
70,2
71,5
72,10
73,9
74,1
75,3
76,5
77,2
78,7
79,1
80,7
81,2
82,5
83,10
84,6
85,4
86,3
87,8
88,4
89,6
90,2
91,10
92,1
93,7
94,10
95,5
96,7
97,8
98,10
99,6
100,10
